anormal,ADJ
Anrufbeantworter,M
anschaulech,ADJ
anscheinend,ADV
Anschluss,W
Ansebuerg,S
Ansebuerg,S
Anstalt,W
Anstand,M
anstänneg,ADJ
antarktesch,ADJ
Antarktis,W
Antenn,W
Antenne,W
Antennebësch,M
Antennëbësch,M
Antennekabel,M
Antennëkabel,M
Antibabypëll,W
antibakteriell,ADJ
Antibiotique,M
Antigel,M
Antigua a Barbuda,S
Antiguaner,M
Antiguanerin,W
antiguanesch,ADJ
Antihistaminique,M
antik,ADJ
Antikierper,M
Antimon,M
Antipathie,W
antippen,"VRB, HV hunn"
Antiquaire,M
Antiquaire,W
Antiquairin,W
antiquaresch,ADJ
Antiquitéit,W
Antisemitt,M
antisemittesch,ADJ
Antisemittin,W
Antisemitismus,M
Antivol,M
antompen,"VRB, HV sinn"
Antoniushaff,S
Antoniushaff,S
antreffen,"VRB, HV sinn"
antrëppelen,"VRB, HV hunn"
antrieden,"VRB, HV sinn"
antriichteren,"VRB, HV hunn"
antroteren,"VRB, HV hunn"
äntweren,"VRB, HV hunn"
Äntwert,W
Anung,W
Anus,M
anzeechnen,"VRB, HV hunn"
anzéien,"VRB, HV sinn"
anzementéieren,"VRB, HV hunn"
anzwousch,ADV
anzwouschhin,ADV
anzwuersch,ADV
apaart,ADJ
apaart,ADV
apaarti,ADV
apaken,"VRB, HV hunn"
aparken,"VRB, HV hunn"
apassen,"VRB, HV hunn"
apathesch,ADJ
Apdikt,W
Apdikter,M
Apdiktesch,W
apechen,"VRB, HV hunn"
Apel,M
Apelbatz,M
apendelen,"VRB, HV hunn"
apennen,"VRB, HV sinn"
Aperhoer,S
Aperitif,M
Aphasie,W
Aphrodisiaque,M
Apht,W
aplangen,"VRB, HV hunn"
aplanzen,"VRB, HV hunn"
aplaz,CONJ
aplaz,PREP
aplënneren,"VRB, HV sinn"
Apnée,W
Apnoe,W
Apostel,M
Apostel,M
Apostelgeschicht,W
Apostelgeschicht,W
apostolesch,ADJ
apostoulesch,ADJ
apostoulesch,ADJ
Apostroph,M
App,W
Apparat,M
Apparatur,W
Appartement,S
Appartementshaus,S
Äppelbam,M
Äppelbeemchen,M
Äppelchen,M
Äppeldrëpp,W
Äppeljelli,M
Äppeljus,M
Äppelkompott,MW
Appell,M
appelléieren,"VRB, HV hunn"
Äppelmous,M
Äppeltaart,W
Äppeltäertchen,W
Äppeltäsch,W
Äppelter,M
Äppelviz,M
Appetit,M
appetitlech,ADJ
appetitterlech,ADJ
applaudéieren,"VRB, HV hunn"
Applaus,M
Applikatioun,W
applizéieren,"VRB, HV hunn"
Appreciatioun,W
appreciéieren,"VRB, HV hunn"
Apprenant,M
Apprenante,W
Approche,W
approuvéieren,"VRB, HV hunn"
approuvéieren,"VRB, HV hunn"
approvisionéieren,"VRB, HV hunn"
approximativ,ADJ
Appui,M
aprägen,"VRB, HV hunn"
Aprikos,W
Aprikosebam,M
Aprikosegebeess,S
Aprikosejus,M
Aprikosendrëpp,W
aprogramméieren,"VRB, HV hunn"
aprouwen,"VRB, HV hunn"
a puncto,ADV
Aquaplaning,M
Aquarell,M
Aquarium,M
aquartéieren,"VRB, HV hunn"
Äquator,M
Äquatorialguinea,S
Äquatorialguineeër,M
Äquatorialguineeërin,W
äquatorialguineeësch,ADJ
Ar,M
är,PRON
Är,PRON
Ära,W
aräissen,"VRB, HV sinn"
araumen,"VRB, HV hunn"
arbitréieren,"VRB, HV hunn"
Arbitter,M
Arbitterin,W
Arbittesch,W
Arcade,W
archaesch,ADJ
Archeolog,M
archeologesch,ADJ
Archeologie,W
Archeologin,W
Architekt,M
Architektin,W
architektonesch,ADJ
Architektur,W
Architekturconcours,M
Archiv,MS
archivéieren,"VRB, HV hunn"
Archivist,M
Archivistin,W
Areal,MS
arechnen,"VRB, HV hunn"
aréckelen,"VRB, HV hunn"
areechen,"VRB, HV hunn"
Areena,W
Arees,W
areesen,"VRB, HV sinn"
areien,"VRB, HV hunn"
areiwen,"VRB, HV hunn"
Arel,S
Arel,S
arem,ADJ
ärem,PRON
Ärem,PRON
aremséileg,ADJ
Aremséilegkeet,W
ären,PRON
Ären,PRON
Arena,W
arenken,"VRB, HV hunn"
arennen,"VRB, HV sinn"
Ärenz,S
Ärenz,S
Ärenzen,S
Ärenzen,S
ärer,PRON
Ärer,PRON
ärer,PRON
Ärer,PRON
ärersäits,ADV
Ärersäits,ADV
arëtzen,"VRB, HV hunn"
argentinesch,ADJ
Argentinien,S
Argentinier,M
Argentinierin,W
Argon,M
Argument,S
Argumentatioun,W
argumentéieren,"VRB, HV hunn"
arieden,"VRB, HV hunn"
ariichten,"VRB, HV hunn"
Ariichtung,W
Aristokrat,M
aristokratesch,ADJ
Aristokratie,W
Aristokratin,W
arithmeetesch,ADJ
Arithmeetik,W
arithmetesch,ADJ
arithmetesch,ADJ
Arithmetik,W
Arithmetik,W
aritzen,"VRB, HV hunn"
Arkad,W
Arkteschen Daucher,M
Arkteschen Zeisel,M
Arktesch Séischmuebel,W
Arktesch Séischmuewel,W
Arméi,W
armenesch,ADJ
Armenien,S
Armenier,M
Armenierin,W
arodéieren,"VRB, HV hunn"
Aroma,M
aromatesch,ADJ
arrangéieren,"VRB, HV hunn"
Arrangement,S
Arrêt,M
Arrêté,M
Arrêté,M
Arrhythmie,W
Arrivée,W
arrogant,ADJ
Arroganz,W
Arsen,M
Arsenal,MS
Arteerie,W
Arteerieverkalkung,W
Arterie,W
Arterieverkalkung,W
Arthrite,W
